application_id,customer_id,property_id,application_date,decision_date,loan_purpose,occupancy_type,property_type,property_state,property_zip,loan_amount,loan_term_months,interest_rate_percent,rate_type,dti_percent,ltv_percent,income_annual,co_applicant,channel,applicant_age_bucket,applicant_sex,applicant_ethnicity,applicant_race,decision,hmda_action_taken
APP202400001,12953,PROP202400001,3/8/2024,4/17/2024,refinance,primary,condo,AZ,84373,111400,180,6.262,fixed,42.5,72.69,171500,0,retail,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400002,10286,PROP202400002,1/11/2024,2/7/2024,purchase,secondary,single_family,WV,54965,61600,180,5.55,fixed,43.7,70.33,113000,0,retail,35-44,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400003,10227,PROP202400003,1/21/2024,2/15/2024,purchase,investment,condo,IL,79646,162000,120,4.66,fixed,31.7,64.67,100700,0,broker,35-44,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400004,16120,PROP202400004,10/19/2024,11/19/2024,purchase,primary,single_family,IN,60581,134100,360,5.496,fixed,48.2,68.8,79500,0,retail,45-54,male,hispanic_or_latino,two_or_more,approved,1_ORIGINATED
APP202400005,11294,PROP202400005,5/21/2024,6/15/2024,refinance,primary,single_family,MD,96092,114500,240,6.196,fixed,34.9,75.94,116000,0,online,75+,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400006,10603,PROP202400006,10/24/2024,11/18/2024,purchase,secondary,multi_family,OK,32286,100000,120,6.69,fixed,28,84.34,203500,0,retail,45-54,female,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400007,10867,PROP202400007,6/13/2024,7/2/2024,refinance,investment,single_family,SC,36574,113700,360,4.441,fixed,32,80.58,145200,0,retail,55-64,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400008,11461,PROP202400008,10/20/2024,11/8/2024,refinance,secondary,single_family,ND,52005,93200,360,4.895,arm,25.7,71.36,140400,1,online,45-54,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400009,15764,PROP202400009,8/12/2024,9/4/2024,refinance,primary,single_family,NV,14350,217600,120,7.803,fixed,30.9,97,117000,0,online,35-44,male,hispanic_or_latino,native_hawaiian_or_pacific_islander,denied,3_DENIED
APP202400010,19101,PROP202400010,12/17/2024,12/24/2024,purchase,primary,single_family,NE,62821,95600,240,4,arm,22.1,59.16,117400,1,broker,65-74,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400011,11214,PROP202400011,6/21/2024,7/8/2024,refinance,primary,condo,NH,11386,155400,360,5.96,fixed,24.6,77.72,69100,0,retail,75+,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400012,15719,PROP202400012,2/16/2024,3/11/2024,purchase,investment,condo,FL,90398,146300,180,4.371,fixed,29.6,72.16,37200,1,retail,45-54,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400013,10396,PROP202400013,7/20/2024,8/7/2024,home_improvement,primary,condo,ID,19271,137500,180,6.212,fixed,46.7,92.36,57000,0,online,18-24,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400014,12022,PROP202400014,11/23/2024,12/8/2024,purchase,secondary,manufactured,OH,22087,78900,360,5.306,fixed,28.6,67.42,135700,1,retail,45-54,female,not_provided,white,approved,1_ORIGINATED
APP202400015,10833,PROP202400015,4/7/2024,4/28/2024,purchase,secondary,single_family,AZ,57865,230800,240,5.784,fixed,57.7,80.54,98800,0,retail,45-54,male,not_provided,white,denied,3_DENIED
APP202400016,13264,PROP202400016,1/27/2024,2/11/2024,purchase,primary,condo,MS,65095,103900,240,4,fixed,35.1,71.56,57200,1,online,45-54,female,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
