property_id,application_id,appraised_value,valuation_date,valuation_method,avm_confidence_score,fema_flood_zone,census_tract,property_latitude,property_longitude
PROP202400001,APP202400001,153300,3/21/2024,full_appraisal,,X,591122.01,36.510552,-106.348142
PROP202400002,APP202400002,87600,2/4/2024,desktop,,X,843931.24,33.80405,-80.990359
PROP202400003,APP202400003,250500,1/28/2024,exterior_only,,X,699370.62,29.683948,-106.734038
PROP202400004,APP202400004,194900,11/15/2024,avm,0.736,X,511504.02,44.277378,-68.171153
PROP202400005,APP202400005,150800,5/25/2024,exterior_only,,AO,335411.6,36.830091,-97.873811
PROP202400006,APP202400006,118500,10/25/2024,exterior_only,,X,976338.71,31.598558,-118.154955
PROP202400007,APP202400007,141100,7/5/2024,full_appraisal,,X,507313.84,40.653964,-102.112874
PROP202400008,APP202400008,130600,10/23/2024,exterior_only,,X,172785.58,46.100581,-95.457219
PROP202400009,APP202400009,224300,8/15/2024,exterior_only,,X,924885.17,37.683151,-68.908596
PROP202400010,APP202400010,161600,12/25/2024,full_appraisal,,X,211552,48.883423,-71.62298
PROP202400011,APP202400011,200000,7/5/2024,exterior_only,,X,596900.56,46.161115,-80.588311
PROP202400012,APP202400012,202700,2/27/2024,full_appraisal,,X,610997.51,47.973413,-101.754665
PROP202400013,APP202400013,148900,7/31/2024,full_appraisal,,AO,319744.39,44.068173,-117.543557
PROP202400014,APP202400014,117000,12/11/2024,avm,0.786,X,711203.03,42.656078,-82.463054
PROP202400015,APP202400015,286600,5/4/2024,full_appraisal,,X,795841.16,41.839818,-78.37438
PROP202400016,APP202400016,145200,1/28/2024,full_appraisal,,X,821043.52,36.859565,-86.518296
PROP202400017,APP202400017,215000,3/22/2024,avm,0.645,X,871996.49,41.596401,-76.0087
PROP202400018,APP202400018,120000,4/5/2024,full_appraisal,,X,369636.76,46.336246,-107.634038
PROP202400019,APP202400019,105600,11/22/2024,avm,0.823,X,747709.07,29.677874,-97.428718
PROP202400020,APP202400020,248600,6/11/2024,full_appraisal,,X,728547.71,37.532796,-102.502898
PROP202400021,APP202400021,119800,2/26/2024,avm,0.739,X,139679.68,40.490804,-72.845662
PROP202400022,APP202400022,276200,10/31/2024,full_appraisal,,X,116452.61,36.596703,-80.412302
PROP202400023,APP202400023,134000,11/16/2024,exterior_only,,X,197259.6,44.187975,-67.413782
PROP202400024,APP202400024,209300,1/10/2025,full_appraisal,,X,276391.29,44.120977,-122.286286
PROP202400025,APP202400025,108500,12/11/2024,desktop,,X,107151.18,33.145354,-108.015401
PROP202400026,APP202400026,172000,1/13/2024,avm,0.664,X,645150.88,34.119477,-79.395313
PROP202400027,APP202400027,201500,10/5/2024,full_appraisal,,X,174269.91,29.011823,-80.651975
PROP202400028,APP202400028,108300,12/17/2024,full_appraisal,,X,608540.21,36.841868,-70.444882
PROP202400029,APP202400029,139700,1/18/2024,full_appraisal,,X,263196.51,38.561893,-76.231532
PROP202400030,APP202400030,102300,9/20/2024,desktop,,X,708868.16,31.55808,-120.263846
PROP202400031,APP202400031,163200,8/10/2024,full_appraisal,,X,372128,36.263738,-90.999356
PROP202400032,APP202400032,121100,9/19/2024,avm,0.795,X,968816.78,46.292738,-82.755456
PROP202400033,APP202400033,237500,9/15/2024,avm,0.925,X,514221.89,37.237169,-103.168507
PROP202400034,APP202400034,165000,9/29/2024,avm,0.648,X,394896.17,31.815282,-81.774259
PROP202400035,APP202400035,91800,3/1/2024,avm,0.924,X,856870.42,35.70155,-70.072697
PROP202400036,APP202400036,235000,3/6/2024,exterior_only,,AE,391542.34,40.950143,-120.485221
PROP202400037,APP202400037,167900,2/7/2024,exterior_only,,X,927677.54,35.928579,-75.276988
PROP202400038,APP202400038,80000,6/16/2024,full_appraisal,,X,293811.67,42.45891,-89.594294
PROP202400039,APP202400039,154900,9/24/2024,avm,0.779,X,107819.8,29.243225,-112.199487
PROP202400040,APP202400040,173800,10/8/2024,desktop,,X,409020.58,39.897622,-119.745725
PROP202400041,APP202400041,89900,12/31/2024,avm,0.797,VE,656509.67,35.901023,-96.603478
PROP202400042,APP202400042,227600,2/27/2024,full_appraisal,,X,821058.34,42.663408,-80.1692
PROP202400043,APP202400043,152700,9/23/2024,full_appraisal,,X,750588.8,30.513104,-112.221642
PROP202400044,APP202400044,152500,12/20/2024,full_appraisal,,VE,572217.34,46.884783,-108.085062
PROP202400045,APP202400045,230500,3/4/2024,exterior_only,,AH,789774.27,30.154959,-116.63073
PROP202400046,APP202400046,204500,11/4/2024,full_appraisal,,X,430594.95,35.703545,-68.294792
PROP202400047,APP202400047,146100,8/31/2024,avm,0.647,X,718965.53,42.329001,-95.758724
PROP202400048,APP202400048,127900,7/24/2024,full_appraisal,,X,450984.92,42.552084,-115.927482
PROP202400049,APP202400049,215200,8/27/2024,full_appraisal,,X,818692.37,39.669505,-68.984785
PROP202400050,APP202400050,139300,11/24/2024,full_appraisal,,X,559056.22,30.14163,-114.829535
PROP202400051,APP202400051,154800,8/27/2024,full_appraisal,,X,991707.3,43.57561,-107.538796
PROP202400052,APP202400052,169900,4/20/2024,full_appraisal,,X,836769.69,33.127574,-97.78396
PROP202400053,APP202400053,123200,11/22/2024,full_appraisal,,X,212581.63,38.175544,-81.309839
PROP202400054,APP202400054,122300,2/20/2024,full_appraisal,,X,643126.6,47.455804,-119.37108
PROP202400055,APP202400055,344600,12/22/2024,full_appraisal,,AE,835001.82,41.031393,-99.507256
PROP202400056,APP202400056,254300,1/6/2024,full_appraisal,,X,870491.44,37.273977,-74.461137
PROP202400057,APP202400057,155800,7/15/2024,avm,0.75,AE,193178.35,45.152199,-82.300735
PROP202400058,APP202400058,136100,1/3/2025,full_appraisal,,X,986134.84,46.925887,-94.275325
PROP202400059,APP202400059,176300,3/15/2024,full_appraisal,,X,902538.37,47.299629,-72.872895
PROP202400060,APP202400060,109900,6/18/2024,avm,0.639,X,356165.08,29.364648,-106.043439
PROP202400061,APP202400061,197700,10/13/2024,full_appraisal,,AE,127943.54,46.843846,-88.052453
PROP202400062,APP202400062,163900,3/8/2024,exterior_only,,X,482901.45,44.501935,-95.915244
PROP202400063,APP202400063,233800,9/22/2024,exterior_only,,X,235938.6,37.048643,-114.845727
PROP202400064,APP202400064,128900,9/28/2024,avm,0.942,X,282932.81,41.664509,-116.627576
PROP202400065,APP202400065,144000,8/18/2024,full_appraisal,,X,877655.45,48.132123,-119.326525
PROP202400066,APP202400066,95300,6/1/2024,exterior_only,,X,488726.08,42.163043,-73.938699
PROP202400067,APP202400067,275800,3/25/2024,avm,0.757,VE,173128.64,32.74095,-87.384006
PROP202400068,APP202400068,104800,10/3/2024,full_appraisal,,X,866881.39,32.816391,-98.62062
PROP202400069,APP202400069,80000,9/18/2024,exterior_only,,X,385846.65,36.122426,-89.147572
PROP202400070,APP202400070,82700,3/23/2024,full_appraisal,,X,228464.32,41.756456,-73.325164
PROP202400071,APP202400071,104700,5/9/2024,full_appraisal,,X,740876.9,34.986328,-84.71918
PROP202400072,APP202400072,80100,12/18/2024,exterior_only,,VE,997815.52,43.843492,-121.917572
PROP202400073,APP202400073,185400,6/21/2024,full_appraisal,,X,885492.21,32.379833,-107.658843
PROP202400074,APP202400074,111900,5/29/2024,full_appraisal,,X,578092.36,25.52171,-80.913497
PROP202400075,APP202400075,227400,5/21/2024,exterior_only,,AE,959172.5,25.930121,-84.476177
PROP202400076,APP202400076,225900,12/3/2024,full_appraisal,,X,762643.62,30.660149,-83.918233
PROP202400077,APP202400077,249000,6/7/2024,avm,0.83,AE,603424.67,40.548749,-96.243135
PROP202400078,APP202400078,132100,1/19/2024,desktop,,X,613673.97,29.628656,-115.191348
PROP202400079,APP202400079,238800,1/19/2024,full_appraisal,,X,748784.39,38.0689,-81.378411
